Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",0805,4,100nF,
"C10, C11, C6",1206,3,1uF,
"C12, C13",1206,2,470uF,
"C3, C4",0805,2,10pF,
C5,1206,1,10uF,
C9,0805,1,10nF,
D1,1206,1,GREEN_LED,
D2,1206,1,RED_LED,
F1,1206,1,PTC,
FB1,0805,1,FerriteBead,
J1,PinHeader_1x20_P2.54mm_Vertical,1,Left,
J2,PinHeader_1x20_P2.54mm_Vertical,1,Right,
J3,PinHeader_1x04_P2.54mm_Vertical,1,ST-LINK,
J4,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_SW,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
"R1, R4",0805,2,10K,
"R2, R3",0805,2,1K5,
SW1,SW_SPST_B3U-1000P,1,RST_SW,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F030C8T6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_TXC_7A-2Pin_5x3.2mm,1,16MHz,
