Designator,Mid X,Mid Y,Rotation,Layer
C1,147.65,-72.13,270.0,bottom
C10,146.26,-92.97,0.0,bottom
C11,146.28,-88.41,180.0,bottom
C12,144.9075,-105.21,0.0,bottom
C13,151.96,-98.92,90.0,bottom
C2,145.6225,-68.51,180.0,bottom
C3,145.88,-93.2575,270.0,top
C4,148.96,-93.2575,270.0,top
C5,148.94,-78.89,0.0,bottom
C6,148.92,-81.27,0.0,bottom
C7,148.81,-83.38,0.0,bottom
C8,148.8125,-85.62,0.0,bottom
C9,146.27,-94.97,0.0,bottom
D1,147.57,-98.34,180.0,top
D2,147.6,-101.2,180.0,top
F1,149.53,-105.23,0.0,bottom
FB1,146.14,-90.85,0.0,bottom
J1,140.0,-84.13,0.0,bottom
J2,155.0,-84.13,0.0,bottom
J3,147.450001,-108.26,90.0,top
J4,148.539999,-61.0,90.0,top
J5,143.525,-61.0,0.0,top
R1,149.4125,-68.51,0.0,bottom
R2,144.13,-99.68,270.0,top
R3,151.55,-99.8,270.0,top
R4,145.69,-72.14,270.0,bottom
SW1,147.62,-72.42,180.0,top
U1,147.46,-81.5,90.0,top
U2,146.4,-100.5,0.0,bottom
Y1,147.32,-89.4775,180.0,top
